,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,0,0,0,0,0,0,0,0,0,0,0
1,71,76,96,89,113,110,110,121,118,136,120,113
2,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,3,4,4,10,9,8,9,16,10,13
4,44,37,40,44,58,33,39,38,32,21,20,20
5,0,0,0,0,0,0,0,0,0,0,0,0
6,119,94,109,91,102,88,80,92,94,88,98,95
7,0,0,0,0,0,0,0,0,0,0,0,0
8,91,108,128,186,187,210,247,263,297,276,268,275
9,0,0,0,0,0,0,0,0,0,0,0,0
10,5,3,5,11,8,10,12,16,12,16,12,9
11,21,29,35,24,38,55,56,76,65,65,61,60
12,0,0,0,0,0,0,0,0,0,0,0,0
13,9,7,9,5,9,2,6,5,4,4,7,5
14,68,64,52,54,49,41,43,60,65,70,80,73
15,19,15,18,27,23,25,33,34,29,30,34,36
16,0,2,0,0,0,0,0,0,2,0,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,37,35,46,47,54,59,59,68,69,66,59,72
19,0,0,0,0,0,0,0,0,0,0,0,0
20,3,5,2,6,5,4,5,5,4,5,6,5
21,193,124,122,143,185,184,223,232,244,245,263,259
22,54,50,52,66,72,67,64,75,84,80,74,77
23,42,32,41,29,35,36,36,40,37,38,38,40
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,5,3,2,3,4,4,4,5,6,7
27,25,28,29,32,31,27,33,38,37,38,33,36
28,32,29,29,35,34,34,23,35,32,26,31,37
29,6,5,6,6,7,9,7,5,5,13,6,9
30,3,1,2,4,3,3,5,3,10,4,5,3
31,0,1,0,1,2,1,1,0,1,0,2,0
32,11,10,10,3,10,9,9,10,8,10,12,12
33,81,100,105,119,119,98,113,128,136,104,100,98
34,25,30,21,23,18,18,23,19,20,19,18,23
35,1,0,2,1,0,2,1,1,2,1,0,0
36,15,9,11,8,13,10,4,13,8,5,11,8
37,2,2,5,3,8,8,13,11,15,15,13,21
38,25,36,36,48,59,56,55,42,58,63,83,54
39,0,1,1,2,1,2,2,2,3,2,2,2
40,6,16,20,26,31,36,34,38,49,46,42,43
41,15,14,23,35,34,37,49,59,70,77,75,82
42,1,0,4,6,3,7,10,9,14,15,19,20
43,0,0,0,0,0,0,0,0,0,0,0,0
44,11,13,13,12,11,16,13,12,17,23,20,19
45,10,20,20,14,17,23,25,27,28,17,27,30
46,4,1,0,2,1,0,0,1,4,1,3,2
47,0,0,1,0,0,2,0,1,1,3,1,0
48,49,36,40,47,38,38,38,40,39,34,45,43
49,108,83,124,134,145,135,174,157,175,168,151,152
50,15,11,6,11,9,5,6,5,5,3,4,8
51,47,26,20,32,30,19,29,27,25,29,37,26
52,23,22,29,32,42,51,55,56,67,62,57,57
53,3,3,2,7,6,7,7,12,10,11,6,8
54,6,5,3,1,2,5,10,3,5,3,7,5
55,20,11,18,20,20,15,18,18,18,17,22,17
56,75,54,51,64,61,69,67,58,44,50,51,54
57,1,1,0,1,0,0,0,1,1,4,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,30,11,12,16,9,34,22,20,31,16,24,32
